ID,Year,Org_nb,Org_W,Inv_nb,Inv_W,Include,Comments,Source
ESEB_2009_16,2009,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2009_17,2009,NA,NA,1,2,TRUE,,Schroeder-etal_2013
ESEB_2009_18,2009,NA,NA,1,3,TRUE,,Schroeder-etal_2013
ESEB_2009_19,2009,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2009_20,2009,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2009_21,2009,NA,NA,1,2,TRUE,,Schroeder-etal_2013
ESEB_2009_22,2009,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2009_23,2009,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2009_24,2009,NA,NA,1,2,TRUE,,Schroeder-etal_2013
ESEB_2009_25,2009,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2009_26,2009,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2009_27,2009,NA,NA,1,2,TRUE,,Schroeder-etal_2013
ESEB_2009_28,2009,NA,NA,2,2,TRUE,,Schroeder-etal_2013
ESEB_2009_29,2009,NA,NA,1,2,TRUE,,Schroeder-etal_2013
ESEB_2009_30,2009,NA,NA,1,2,TRUE,,Schroeder-etal_2013
ESEB_2009_31,2009,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2009_32,2009,NA,NA,1,2,TRUE,,Schroeder-etal_2013
ESEB_2011_01,2011,NA,NA,0,3,TRUE,,Schroeder-etal_2013
ESEB_2011_02,2011,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2011_03,2011,NA,NA,0,3,TRUE,,Schroeder-etal_2013
ESEB_2011_04,2011,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2011_05,2011,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2011_06,2011,NA,NA,2,4,TRUE,,Schroeder-etal_2013
ESEB_2011_07,2011,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2011_08,2011,NA,NA,2,2,TRUE,,Schroeder-etal_2013
ESEB_2011_09,2011,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2011_10,2011,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2011_11,2011,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2011_12,2011,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2011_13,2011,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2011_14,2011,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2011_15,2011,NA,NA,0,1,TRUE,,Schroeder-etal_2013
ESEB_2011_16,2011,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2011_17,2011,NA,NA,1,2,TRUE,,Schroeder-etal_2013
ESEB_2011_18,2011,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2011_19,2011,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2011_20,2011,NA,NA,1,2,TRUE,,Schroeder-etal_2013
ESEB_2011_21,2011,NA,NA,0,2,TRUE,,Schroeder-etal_2013
